,News Source,Tweet Text,Tweet Date,Compound Score,Pos.score,Neg.score,Neu.score,Tweets ago
0,BBC News (World),Trump calls for deportations without judicial process https://t.co/Nl5nkeES6S,Sun Jun 24 19:17:37 +0000 2018,0.0,0.0,0.0,1.0,1
1,BBC News (World),Europe migrants: Italy warns Schengen is 'at risk' https://t.co/RCO71FM9fr,Sun Jun 24 18:55:57 +0000 2018,-0.3612,0.0,0.333,0.667,2
2,BBC News (World),Mali Fula villagers were killed 'in cold blood' https://t.co/AfcHoefUVO,Sun Jun 24 17:44:07 +0000 2018,-0.6705,0.0,0.36,0.64,3
3,BBC News (World),Event in Dublin for 60 years of UN peacekeeping missions https://t.co/6w3nloDc5Q,Sun Jun 24 17:02:54 +0000 2018,0.4588,0.231,0.0,0.769,4
4,BBC News (World),A juvenile male has been arrested over Tallaght Park death https://t.co/qLTGyf7inE,Sun Jun 24 16:48:00 +0000 2018,-0.7906,0.0,0.467,0.533,5
5,BBC News (World),"RT @bbctennis: He’s done it!

Cilic defeats Djokovic 5-7, 7-6, 6-3.

Watch on @BBCTwo or here👇
https://t.co/jUcUW6L31r
#bbctennis #QueensTe…",Sun Jun 24 16:43:57 +0000 2018,-0.3802,0.0,0.126,0.874,6
6,BBC News (World),Erdogan leads after early results in Turkey https://t.co/3ywfCK7u0H,Sun Jun 24 15:54:59 +0000 2018,0.0,0.0,0.0,1.0,7
7,BBC News (World),"Lava from Hawaii's Kilauea volcano creeps closer to more homes 🌋

https://t.co/DX4aFQwOaH https://t.co/HRp05YBuHy",Sun Jun 24 15:22:40 +0000 2018,0.0,0.0,0.0,1.0,8
8,BBC News (World),"RT @BBCSport: FT #ENG 6-1 #PAN 

Kane ⚽⚽⚽
Stones ⚽⚽
Lingard ⚽

Qualification secured! ✅

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/ByebdqU7Y…",Sun Jun 24 13:53:17 +0000 2018,0.4574,0.166,0.0,0.834,9
9,BBC News (World),"RT @BBCSport: GOAL! #ENG 6-1 #PAN 

Comeback on?

Baloy gets on the end of a free-kick. The Panama fans go wild!

📺 @BBCOne 
📻 @5liveSport…",Sun Jun 24 13:38:10 +0000 2018,0.0,0.0,0.0,1.0,10
10,BBC News (World),"RT @bbcf1: Moment of history for Saudi Arabia's women at today's  #FrenchGP 

Aseel Al-Hamad will drive a Lotus Renault E20 on a lap of the…",Sun Jun 24 13:36:20 +0000 2018,0.0,0.0,0.0,1.0,11
11,BBC News (World),"RT @BBCSport: GOAL! #ENG 6-0 #PAN 

Hat-trick for Harry Kane!

He's the leading #WorldCup goalscorer now on five goals!

📺 @BBCOne 
📻 @5liv…",Sun Jun 24 13:21:38 +0000 2018,0.0,0.0,0.0,1.0,12
12,BBC News (World),"RT @BBCSport: GOAL! #ENG 5-0 #PAN 

It's coming home.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/ByebdqU7Yx

#WorldCup #ENGPAN #bbcworldcup…",Sun Jun 24 12:45:55 +0000 2018,0.0,0.0,0.0,1.0,13
13,BBC News (World),"RT @BBCSport: GOAL! #ENG 4-0 #PAN 

Okay.

John Stones grabs his second - England are cruising!

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/B…",Sun Jun 24 12:42:22 +0000 2018,0.3578,0.127,0.0,0.873,14
14,BBC News (World),"RT @BBCSport: GOAL! #ENG 3-0 #PAN 

Jesse Lingard!!

He curls a beauty into the top corner. Dreamland for England!

📺 @BBCOne 
📻 @5liveSpor…",Sun Jun 24 12:36:38 +0000 2018,0.7762,0.273,0.0,0.727,15
15,BBC News (World),"RT @BBCSport: GOAL! #ENG 2-0 #PAN 

Harry Kane converts from the spot - his third goal of the #WorldCup 

📺 @BBCOne 
📻 @5liveSport 
📱 https…",Sun Jun 24 12:23:45 +0000 2018,0.0,0.0,0.0,1.0,16
16,BBC News (World),Ukraine Roma camp attack leaves one dead https://t.co/PlwCBL9CYV,Sun Jun 24 12:17:52 +0000 2018,-0.8126,0.0,0.552,0.448,17
17,BBC News (World),"RT @BBCSport: GOAL! #ENG 1-0 #PAN 

What a start! 

John Stones with a bullet header from a corner.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.…",Sun Jun 24 12:09:06 +0000 2018,0.0,0.0,0.0,1.0,18
18,BBC News (World),"RT @BBCSport: #ENG v #PAN is under way!

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/ByebdqU7Yx

#WorldCup #ENGPAN #bbcworldcup https://t.co/r…",Sun Jun 24 12:00:45 +0000 2018,0.0,0.0,0.0,1.0,19
19,BBC News (World),Zimbabwe election to 'to go ahead as planned' after blast https://t.co/bSUek02iOJ,Sun Jun 24 10:32:17 +0000 2018,0.0,0.0,0.0,1.0,20
20,BBC News (World),"""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/NmsTDXIGvr",Sun Jun 24 10:23:22 +0000 2018,0.2942,0.114,0.0,0.886,21
21,BBC News (World),Germany building explosion injures 25 https://t.co/K6Ddvz6RcE,Sun Jun 24 10:23:11 +0000 2018,0.0,0.0,0.0,1.0,22
22,BBC News (World),"Han Solo 'blaster' fetches $550,000 in New York https://t.co/sIVep26sTx",Sun Jun 24 09:09:03 +0000 2018,0.0,0.0,0.0,1.0,23
23,BBC News (World),A woman takes the wheel in Saudi Arabia https://t.co/9OvRr1sRE9,Sun Jun 24 08:42:41 +0000 2018,0.0,0.0,0.0,1.0,24
24,BBC News (World),RT @BBCSport: Fifa has opened an investigation into Granit Xhaka and Xherdan Shaqiri's goal celebrations during Switzerland's World Cup vic…,Sun Jun 24 08:22:53 +0000 2018,0.0,0.0,0.0,1.0,25
25,BBC News (World),"RT @BBCSteveR: From (World Cup) Russia with Love:  Marx, Putin, pigeons &amp; a piano accompaniment. #WorldCup https://t.co/xwOgMeNlf2",Sun Jun 24 08:13:42 +0000 2018,0.6369,0.219,0.0,0.781,26
26,BBC News (World),"New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt70QyeRZz",Sun Jun 24 07:44:41 +0000 2018,0.0,0.0,0.0,1.0,27
27,BBC News (World),Woman 'humiliated' by Walgreens over drugs to end pregnancy https://t.co/lPc86Eo2yL,Sun Jun 24 06:28:30 +0000 2018,0.0,0.0,0.0,1.0,28
28,BBC News (World),Nicaragua protests: Baby killed in Managua clashes https://t.co/ks17QgywFj,Sun Jun 24 05:27:48 +0000 2018,-0.7506,0.0,0.516,0.484,29
29,BBC News (World),Turkey election: Erdogan seeks second term in hard-fought contest https://t.co/ICViy1WcdF,Sun Jun 24 02:59:56 +0000 2018,0.0,0.0,0.0,1.0,30
30,BBC News (World),100 Women: 'Signing a gagging clause set me free' https://t.co/y59xOTGNwE,Sun Jun 24 01:36:26 +0000 2018,0.5106,0.292,0.0,0.708,31
31,BBC News (World),What impact has Donald Trump had on illegal immigration? https://t.co/oN2Vtp7P6w,Sun Jun 24 01:14:34 +0000 2018,-0.5574,0.0,0.286,0.714,32
32,BBC News (World),Kenya's 'contaminated sugar' row: What we know https://t.co/iA6N3Hqf2j,Sun Jun 24 01:12:13 +0000 2018,0.0,0.0,0.0,1.0,33
33,BBC News (World),Europe migrants: Can the EU reach a new deal? https://t.co/Fr8VLF8lsN,Sun Jun 24 01:09:49 +0000 2018,0.0258,0.121,0.0,0.879,34
34,BBC News (World),How many words do you need to speak a language? https://t.co/LvDicLxGx2,Sun Jun 24 01:07:22 +0000 2018,0.0,0.0,0.0,1.0,35
35,BBC News (World),"Obituary: Suman Virk, the mother who forgave her daughter's killer https://t.co/E52qPUTM0Z",Sun Jun 24 00:48:40 +0000 2018,-0.4404,0.153,0.274,0.573,36
36,BBC News (World),French jogger detained after crossing US-Canada border https://t.co/Gj3FN7G9nK,Sat Jun 23 22:18:54 +0000 2018,-0.4019,0.0,0.278,0.722,37
37,BBC News (World),Sarah Sanders kicked out of restaurant because of work for Trump https://t.co/fs910TE1Lw,Sat Jun 23 21:25:25 +0000 2018,0.0,0.0,0.0,1.0,38
38,BBC News (World),Vatican ex-diplomat sentenced to five years on child pornography charges https://t.co/zoiMSAo7o7,Sat Jun 23 21:22:40 +0000 2018,-0.296,0.0,0.262,0.738,39
39,BBC News (World),"RT @BBCNews: Thousands of people marched through central London to demand a vote on any final #Brexit deal 🇬🇧🇪🇺

https://t.co/35XqTjiYfN ht…",Sat Jun 23 17:22:19 +0000 2018,-0.128,0.0,0.073,0.927,40
40,BBC News (World),Boru: Golden eagle missing in Monaghan returns https://t.co/6iRTsOqSXE,Sat Jun 23 16:37:02 +0000 2018,-0.296,0.0,0.239,0.761,41
41,BBC News (World),Italy migrant row: Malta defiant over stranded rescue boat https://t.co/Mw4jrRT7ic,Sat Jun 23 15:32:04 +0000 2018,0.34,0.25,0.144,0.606,42
42,BBC News (World),Thousands of gallons of crude oil has leaked into a US river after a train came off the tracks in Iowa… https://t.co/wRUuERvQje,Sat Jun 23 14:17:31 +0000 2018,-0.7184,0.0,0.25,0.75,43
43,BBC News (World),"RT @BBCSport: FT #BEL 5-2 #TUN 

A very impressive performance from Belgium. Next up for the Red Devils is #ENG... 

📺 @BBCOne 
📻 @5liveSpo…",Sat Jun 23 13:58:18 +0000 2018,-0.0276,0.137,0.141,0.723,44
44,BBC News (World),"RT @BBCSport: GOAL! #BEL 5-1 #TUN 

Michy Batshuayi finally gets his goal as he slides in at the back post.

📺 @BBCOne 
📻 @5liveSport 
📱 ht…",Sat Jun 23 13:52:40 +0000 2018,0.0,0.0,0.0,1.0,45
45,BBC News (World),Explosion rocks Zimbabwe president's rally https://t.co/HIPMq8rMqU,Sat Jun 23 13:47:32 +0000 2018,0.0,0.0,0.0,1.0,46
46,BBC News (World),"RT @BBCSport: GOAL! #BEL 4-1 #TUN 

Hazard latches on to De Bruyne's pass, skips past the keeper and scores.

Belgium look good. Very good.…",Sat Jun 23 13:14:50 +0000 2018,0.4926,0.122,0.0,0.878,47
47,BBC News (World),"RT @BBCSport: HT #BEL 3-1 #TUN 

Belgium are in complete control at the break after Lukaku's second.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t…",Sat Jun 23 12:55:03 +0000 2018,0.0,0.0,0.0,1.0,48
48,BBC News (World),"RT @BBCSport: GOAL! #BEL 3-1 #TUN 

It's a second for Romelu Lukaku, a delightful chipped finish over the keeper

📺 @BBCOne 
📻 @5liveSport…",Sat Jun 23 12:49:21 +0000 2018,0.6239,0.185,0.0,0.815,49
49,BBC News (World),"RT @BBCSport: GOAL! #BEL 2-1 #TUN 

What a start to this match!

Bronn heads home from an in-swinging free-kick.

📺 @BBCOne 
📻 @5liveSport…",Sat Jun 23 12:18:43 +0000 2018,0.0,0.0,0.0,1.0,50
50,BBC News (World),"RT @BBCSport: GOAL! #BEL 2-0 #TUN 

Floodgates?

Romelu Lukaku arrows a fine finish into the bottom corner.

📺 @BBCOne 
📻 @5liveSport 
📱 ht…",Sat Jun 23 12:17:24 +0000 2018,0.2714,0.104,0.0,0.896,51
51,BBC News (World),"RT @BBCSport: Ireland have survived a dramatic finale to clinch a first Test series victory in Australia since 1979.

Live reaction 👉 https…",Sat Jun 23 12:15:29 +0000 2018,0.5106,0.148,0.0,0.852,52
52,BBC News (World),"RT @BBCSport: GOAL! #BEL 1-0 #TUN 

Hazard steps up to convert the spot kick - great start for Belgium.

📺 @BBCOne 
📻 @5liveSport 
📱 https:…",Sat Jun 23 12:10:12 +0000 2018,0.6588,0.18,0.0,0.82,53
53,BBC News (World),"RT @BBCSport: #BEL v #TUN is under way!

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/XTVTlxv0mD

#WorldCup #BELTUN #bbcworldcup https://t.co/Z…",Sat Jun 23 12:01:42 +0000 2018,0.0,0.0,0.0,1.0,54
54,BBC News (World),"""I don't know how I survived. I'm amazed how I survived""

Max Eisen's mother, sister and two brothers died at Ausch… https://t.co/9D7Rzc9Pqf",Sat Jun 23 11:55:45 +0000 2018,-0.7007,0.113,0.319,0.567,55
55,BBC News (World),Dublin park death thought to be 'suspicious' https://t.co/Li65v5fVUf,Sat Jun 23 11:48:09 +0000 2018,-0.5994,0.0,0.358,0.642,56
56,BBC News (World),"RT @BBCMonitoring: Ethiopian PM's office now says no deaths reported in explosion at rally in the Addis Ababa, contradicting earlier report…",Sat Jun 23 11:15:29 +0000 2018,-0.5423,0.0,0.191,0.809,57
57,BBC News (World),Saudi Arabia's ban on women driving ban to end https://t.co/dPrXbIfu4H,Sat Jun 23 11:14:51 +0000 2018,-0.802,0.0,0.474,0.526,58
58,BBC News (World),Pantera drummer Vinnie Paul dies aged 54 https://t.co/EeRDzr9B76,Sat Jun 23 10:24:00 +0000 2018,0.0,0.0,0.0,1.0,59
59,BBC News (World),'Double eagle' celebration provokes Serbs https://t.co/GO7vAzGjmh,Sat Jun 23 10:05:09 +0000 2018,-0.3182,0.0,0.315,0.685,60
60,BBC News (World),US military plans migrant tent camps amid Trump crackdown https://t.co/kZEmpbsD1V,Sat Jun 23 08:01:56 +0000 2018,0.0,0.0,0.0,1.0,61
61,BBC News (World),Explosion hits Ethiopia PM rally https://t.co/hpbujYXRRR,Sat Jun 23 07:30:51 +0000 2018,0.0,0.0,0.0,1.0,62
62,BBC News (World),Trump says North Korea still 'extraordinary threat' https://t.co/JrJw1h2RXe,Sat Jun 23 03:55:10 +0000 2018,-0.5267,0.0,0.327,0.673,63
63,BBC News (World),Anthony Bourdain: Chef's mother plans memorial tattoo https://t.co/YBlfu09bdN,Sat Jun 23 01:09:47 +0000 2018,0.0,0.0,0.0,1.0,64
64,BBC News (World),Unravelling the mystery of Akon's Wakanda https://t.co/AMnczGpuAt,Sat Jun 23 00:39:37 +0000 2018,0.0,0.0,0.0,1.0,65
65,BBC News (World),The Aquarius: Migrant taxi service or charitable rescuers? https://t.co/FJqdasj52U,Sat Jun 23 00:12:56 +0000 2018,0.4019,0.252,0.0,0.748,66
66,BBC News (World),The Kashmiri art bringing Hindus and Muslims together https://t.co/YobgGIkYEs,Fri Jun 22 23:15:25 +0000 2018,0.0,0.0,0.0,1.0,67
67,BBC News (World),North Korean propaganda changes its tune https://t.co/NnaM5uUSGe,Fri Jun 22 23:10:31 +0000 2018,-0.25,0.0,0.25,0.75,68
68,BBC News (World),Undocumented migrant families embark on chaotic reunion process https://t.co/a8mrwyVk9W,Fri Jun 22 23:05:03 +0000 2018,-0.4939,0.0,0.286,0.714,69
69,BBC News (World),Baron Edouard-Jean Empain who lost finger to kidnappers dies https://t.co/v4JqEVVG9G,Fri Jun 22 21:41:30 +0000 2018,-0.3182,0.0,0.204,0.796,70
70,BBC News (World),Trump highlights victims of migrants amid family separations row https://t.co/BBdVNYL93y,Fri Jun 22 20:41:20 +0000 2018,-0.3182,0.0,0.204,0.796,71
